Unnamed: 0,question,answer
2918,can you fix a dripping faucet in a kitchen sink,of course
2919,of course,then i have a job for you in my kitchen
2920,then i have a job for you in my kitchen,it will cost you only 20 plus parts
2921,it will cost you only 20 plus parts,okay that sounds like a fair price
2922,what would you do if you lost your job,i have no idea ive been here for 20 years
2923,i have no idea ive been here for 20 years,do you have any other skills
2924,do you have any other skills,well i know how to flip hamburgers
2925,well i know how to flip hamburgers,no one would hire you to flip hamburgers
2926,no one would hire you to flip hamburgers,have you heard something that youre not telling me
2927,have you heard something that youre not telling me,what do you mean
2928,what do you mean,are there going to be layoffs at this place
2929,are there going to be layoffs at this place,i certainly hope not
2930,i certainly hope not,if you got laid off youd be flipping hamburgers too
2931,if you got laid off youd be flipping hamburgers too,oh great we could both work at burger king
2932,oh great we could both work at burger king,maybe wed get laid off there too
2933,do your students ever talk about their jobs,yes and they ask me what jobs are the best
2934,yes and they ask me what jobs are the best,i tell my students to become a teacher
2935,i tell my students to become a teacher,teaching is a great job
2936,teaching is a great job,its the best job ive ever had
2937,its the best job ive ever had,what makes it so good
2938,what makes it so good,for me its the students
2939,for me its the students,what do you mean
2940,what do you mean,i mean i have wonderful students
2941,i mean i have wonderful students,that must be nice
2942,that must be nice,teaching is the best part of my whole day
2943,teaching is the best part of my whole day,youre a lucky man to have a job you love
2944,boy im glad that job is finished,how long did it take
2945,how long did it take,four hours without a break
2946,four hours without a break,its always nice to finish a job
2947,its always nice to finish a job,well its good and bad
2948,well its good and bad,whats bad about it
2949,whats bad about it,when you finish all you do is start another job
2950,when you finish all you do is start another job,yes thats right it does get boring
2951,yes thats right it does get boring,especially if its the same work over and over
2952,especially if its the same work over and over,but thats what most people do
2953,but thats what most people do,yes i guess most of us are stuck in a routine
2954,yes i guess most of us are stuck in a routine,i wonder if there is any job that you dont repeat over and over
2955,i think i have the worst boss in the world,what makes him so bad
2956,what makes him so bad,hes rude and he yells a lot
2957,hes rude and he yells a lot,thats hard to take
2958,thats hard to take,ive never heard him say please or thank you
2959,ive never heard him say please or thank you,he sounds like a real jerk
2960,he sounds like a real jerk,no one at work likes him
2961,no one at work likes him,cant you report him to his supervisor
2962,cant you report him to his supervisor,of course not if i do that ill lose my job
2963,of course not if i do that ill lose my job,yes they dont like troublemakers or complainers
2964,yes they dont like troublemakers or complainers,i cant quit because im making a good salary
2965,i cant quit because im making a good salary,you shouldnt choose money over happiness
2966,what are we going to do,about what
2967,about what,about finding a job for me
2968,about finding a job for me,you dont need a job i make enough money for both of us
2969,you dont need a job i make enough money for both of us,that doesnt matter i dont want to sit around
2970,that doesnt matter i dont want to sit around,okay what kind of job do you want
2971,okay what kind of job do you want,im not sure
2972,im not sure,well you should do something that you enjoy
2973,well you should do something that you enjoy,i enjoy selling i was born to sell
2974,i enjoy selling i was born to sell,okay what do you want to sell
2975,okay what do you want to sell,cigarette lighters ill make a fortune
2976,cigarette lighters ill make a fortune,but you hate cigarettes and you hate smoking
2977,a new hotel is looking for workers,yes i saw it on the tv news
2978,yes i saw it on the tv news,they need 300 new workers
2979,they need 300 new workers,and 4000 people showed up
2980,and 4000 people showed up,so many people are out of work
2981,so many people are out of work,i still have my job thank goodness
2982,i still have my job thank goodness,so do i but im worried
2983,so do i but im worried,me too there are no guarantees
2984,me too there are no guarantees,if you lose your job you can move in with me
2985,if you lose your job you can move in with me,oh thank you thats very nice of you
2986,oh thank you thats very nice of you,you would do the same for me
2987,you would do the same for me,of course what are friends for
2988,i think i did something real stupid,what did you do
2989,what did you do,i bought some stock
2990,i bought some stock,everybody buys stock
2991,everybody buys stock,i bought it on a hunch
2992,i bought it on a hunch,you didnt read about the company first
2993,you didnt read about the company first,i didnt have to its been in business for 60 years
2994,i didnt have to its been in business for 60 years,so whats the problem
2995,so whats the problem,i used all my savings on this one company
2996,i used all my savings on this one company,you put all your eggs into one basket
2997,you put all your eggs into one basket,if the company goes out of business ill have nothing
2998,if the company goes out of business ill have nothing,oh youll have somethingyoull have a lesson youll never forget
2999,i was going to be a doctor,what happened to your plans
3000,what happened to your plans,i got a d in college chemistry
3001,i got a d in college chemistry,well a d is better than an f
3002,well a d is better than an f,a tutor helped me get the d
3003,a tutor helped me get the d,so you didnt become a doctor
3004,so you didnt become a doctor,and now im glad that i didnt
3005,and now im glad that i didnt,whys that
3006,whys that,a hospital is the most dangerous place in the world
3007,a hospital is the most dangerous place in the world,oh yes because of all the killer germs
3008,oh yes because of all the killer germs,if youre a smart doctor you stay away from hospitals
3009,if youre a smart doctor you stay away from hospitals,yes the smart doctors are those tv news doctorsno hospitals no patients
3010,i want to be a mail carrier when i grow up,why
3011,why,because you get to meet a lot of people
3012,because you get to meet a lot of people,you sure do
3013,you sure do,and you get a lot of exercise every day
3014,and you get a lot of exercise every day,thats the truth
3015,thats the truth,and you get to play with a lot of dogs
3016,and you get to play with a lot of dogs,well youre supposed to be working
3017,well youre supposed to be working,yes but i will always pet the friendly dogs
3018,yes but i will always pet the friendly dogs,what about the unfriendly dogs
3019,what about the unfriendly dogs,i think if you are friendly to dogs they are friendly to you
3020,i think if you are friendly to dogs they are friendly to you,dogs are like peoplenot all of them are friendly
3021,i want to move to new york,to the state or the city
3022,to the state or the city,to the city of course
3023,to the city of course,why do you want to move there
3024,why do you want to move there,because i want to make a lot of money
3025,because i want to make a lot of money,there are a lot of poor people in new york
3026,there are a lot of poor people in new york,there sure areat least a million
3027,there sure areat least a million,so how do you plan to become rich
3028,so how do you plan to become rich,i will knock on the doors of all the corporations
3029,i will knock on the doors of all the corporations,that wont make you rich nobody will talk to you
3030,that wont make you rich nobody will talk to you,i will keep knocking on doors
3031,i will keep knocking on doors,all you will get is sore knuckles
3032,i love salads,me too
3033,me too,i usually eat a simple salad
3034,i usually eat a simple salad,what do you put in it
3035,what do you put in it,just lettuce tomato and celery
3036,just lettuce tomato and celery,thats it
3037,thats it,i add some pepper and salt
3038,i add some pepper and salt,i always put cheese in my salads
3039,i always put cheese in my salads,yes cheese is nice
3040,yes cheese is nice,what kind of dressing do you use
3041,what kind of dressing do you use,i pour lots of french dressing on top
3042,i pour lots of french dressing on top,me too french dressing is so delicious who cares about calories
3043,i love cheese,me too
3044,me too,where does cheese come from
3045,where does cheese come from,it comes from cows
3046,it comes from cows,so we get cheese from cows and we get milk too
3047,so we get cheese from cows and we get milk too,yes we do
3048,yes we do,what else do we get from cows
3049,what else do we get from cows,we get hamburgers and steak
3050,we get hamburgers and steak,oh thats so delicious
3051,oh thats so delicious,we also get leather
3052,we also get leather,we get a lot of things from cows dont we
3053,we get a lot of things from cows dont we,yes a cow is mans best friend
3054,i used to work in a deli,how did you like it
3055,how did you like it,i loved it
3056,i loved it,did you get free food
3057,did you get free food,i ate free cheese and meat every day
3058,i ate free cheese and meat every day,that sounds like a great job
3059,that sounds like a great job,whatever a customer ordered i sliced off a little more for me
3060,whatever a customer ordered i sliced off a little more for me,did you get fat
3061,did you get fat,no but i did put on a few pounds
3062,no but i did put on a few pounds,that sounds like a dream job
3063,that sounds like a dream job,it was until one day my manager caught me
3064,it was until one day my manager caught me,no more free cheese for you huh
3065,im on a new diet,what are you eating now
3066,what are you eating now,i switched from pasta to potatoes
3067,i switched from pasta to potatoes,why did you do that
3068,why did you do that,pasta is processed food potatoes are natural food
3069,pasta is processed food potatoes are natural food,natural food has more vitamins
3070,natural food has more vitamins,and its just as easy to prepare
3071,and its just as easy to prepare,how do you prepare the potatoes
3072,how do you prepare the potatoes,i wash them and then steam them for 15 minutes
3073,i wash them and then steam them for 15 minutes,thats pretty simple
3074,thats pretty simple,then i add butter salt and pepper
3075,then i add butter salt and pepper,can i have all those cans of tomato sauce you bought for your pasta
3076,my girlfriends mom got mad at me at the dinner table,why was that
3077,why was that,i sprinkled salt and pepper on the food before i tasted it
3078,i sprinkled salt and pepper on the food before i tasted it,whats the matter with that
3079,whats the matter with that,her mom is a great cook
3080,her mom is a great cook,so a little salt and pepper never hurt anything
3081,so a little salt and pepper never hurt anything,it hurt her feelings
3082,it hurt her feelings,oh
3083,oh,i apologized to her but i could tell she was still upset
3084,i apologized to her but i could tell she was still upset,maybe you shouldnt eat there again
3085,maybe you shouldnt eat there again,im sure everything will be okay in a day or two
3086,im sure everything will be okay in a day or two,its your girlfriends fault she should have warned you
3087,i eat the same thing every day,youre kidding
3088,youre kidding,no im serious
3089,no im serious,doesnt that get old
3090,doesnt that get old,no because im eating food that i like
3091,no because im eating food that i like,but the same thing day after day gets old
3092,but the same thing day after day gets old,well i guess if it ever does get old ill change to something different
3093,well i guess if it ever does get old ill change to something different,do you eat fruits and vegetables every day
3094,do you eat fruits and vegetables every day,no i hate vegetables
3095,no i hate vegetables,but you eat fruits
3096,but you eat fruits,i eat two apples one banana and one orange every day
3097,i eat two apples one banana and one orange every day,well theres nothing wrong with that
3098,theres something wrong with my orange,whats wrong
3099,whats wrong,its not orange
3100,its not orange,your orange isnt orange
3101,your orange isnt orange,no its dark pink
3102,no its dark pink,are you sure i never heard of such a thing
3103,are you sure i never heard of such a thing,i just peeled it and im looking at it right now
3104,i just peeled it and im looking at it right now,let me see yes youre right your orange is pink
3105,let me see yes youre right your orange is pink,who ever heard of such a thing
3106,who ever heard of such a thing,oh look heres the little sticker that was on it its called a pink navel
3107,oh look heres the little sticker that was on it its called a pink navel,what is this world coming to
3108,what is this world coming to,who knows maybe soon well have pink bananas
3109,i love peanuts,me too i love them roasted and salted
3110,me too i love them roasted and salted,i love boiled peanuts
3111,i love boiled peanuts,boiled i never heard of that
3112,boiled i never heard of that,just boil raw peanuts in salt water until the shells are soft
3113,just boil raw peanuts in salt water until the shells are soft,ill have to try them sometime
3114,ill have to try them sometime,theyre best when theyre hot
3115,theyre best when theyre hot,my brother is allergic to peanuts
3116,my brother is allergic to peanuts,thats not good
3117,thats not good,no it isnt he almost died when he was little
3118,no it isnt he almost died when he was little,i guess he has to be very careful about what he eats
3119,i guess he has to be very careful about what he eats,he has a very strict diet
3120,im gaining weight,how much have you gained
3121,how much have you gained,three pounds just this month
3122,three pounds just this month,do you know why
3123,do you know why,i think its the ice cream
3124,i think its the ice cream,you started eating ice cream
3125,you started eating ice cream,it was on sale
3126,it was on sale,how much did you buy
3127,how much did you buy,i filled up my freezer with ice cream
3128,i filled up my freezer with ice cream,well it wont last forever
3129,well it wont last forever,no i figure ill finish it all by next week
3130,no i figure ill finish it all by next week,then you can start losing weight if there isnt another sale
3131,im stuffed,of course you are you ate everything on the table
3132,of course you are you ate everything on the table,i dont like to eat leftovers
3133,i dont like to eat leftovers,im glad to hear theres something you dont like to eat
3134,im glad to hear theres something you dont like to eat,i like my food hot and fresh
3135,i like my food hot and fresh,you like to see it disappear
3136,you like to see it disappear,i dont like it reheated
3137,i dont like it reheated,well youll have hot fresh food tomorrow night
3138,well youll have hot fresh food tomorrow night,im so full im going to burst
3139,im so full im going to burst,you should loosen your belt
3140,you should loosen your belt,i already loosened my belt and unbuttoned my pants
3141,i already loosened my belt and unbuttoned my pants,well dont stand up please
3142,i saw what you did,i didnt do anything
3143,i didnt do anything,oh yes you did
3144,oh yes you did,what are you talking about
3145,what are you talking about,you know what im talking about
3146,you know what im talking about,i dont have any idea
3147,i dont have any idea,you know what you did
3148,you know what you did,maybe i know but how could you know
3149,maybe i know but how could you know,because i was watching you
3150,because i was watching you,okay im sorry i did it
3151,okay im sorry i did it,dont drink milk out of the carton use a glass
3152,dont drink milk out of the carton use a glass,i promise ill never drink out of the carton again
3153,i like that shirt,so do i
3154,so do i,how much is it
3155,how much is it,i dont know the tag is missing
3156,i dont know the tag is missing,ask the clerk
3157,ask the clerk,i will
3158,i will,oh look heres another shirt just like it
3159,oh look heres another shirt just like it,does it have a price tag
3160,does it have a price tag,yes it does its only 20
3161,yes it does its only 20,thats a great price
3162,thats a great price,i think ill buy both of them
3163,i think ill buy both of them,youd better try them on first
3164,i bought you a pair of pants,thank you
3165,thank you,i hope they fit
3166,i hope they fit,i hope you kept the receipt
3167,i hope you kept the receipt,you think they wont fit
3168,you think they wont fit,i think ive put on some weight
3169,i think ive put on some weight,you think
3170,you think,maybe a pound or two
3171,maybe a pound or two,maybe four or five pounds
3172,maybe four or five pounds,my waist is bigger than it was
3173,my waist is bigger than it was,no problem these pants have an elastic waistband
3174,no problem these pants have an elastic waistband,you are so smart
3175,what do we need to buy,let me look at our list
3176,let me look at our list,i know that we need milk
3177,i know that we need milk,nonfat
3178,nonfat,of course what else
3179,of course what else,we need cheese bread and ham
3180,we need cheese bread and ham,what kind of cheese
3181,what kind of cheese,swiss
3182,swiss,of course the cheese with holes in it
3183,of course the cheese with holes in it,i never used to buy swiss cheese
3184,i never used to buy swiss cheese,why not
3185,why not,i didnt want to pay for the holes
3186,i need some pants,i thought you just bought a pair
3187,i thought you just bought a pair,i did
3188,i did,whats wrong with them so soon
3189,whats wrong with them so soon,the pants are fine but the pocket has a huge hole in it
3190,the pants are fine but the pocket has a huge hole in it,you shouldnt carry your keys and pens in your pocket
3191,you shouldnt carry your keys and pens in your pocket,but thats what pockets are for
3192,but thats what pockets are for,you should carry them in a purse
3193,you should carry them in a purse,im a man and men dont carry purses
3194,im a man and men dont carry purses,well you should buy pants with stronger pockets
3195,well you should buy pants with stronger pockets,i would if i could find someone who makes strong pockets
3196,i would if i could find someone who makes strong pockets,try a google search online
3197,what are those wipes for,you use them to wipe the handle of the shopping cart
3198,you use them to wipe the handle of the shopping cart,thats a great idea
3199,thats a great idea,yes all the markets just started offering wipes to shoppers
3200,yes all the markets just started offering wipes to shoppers,im going to take five wipes
3201,im going to take five wipes,what do you need five of them for
3202,what do you need five of them for,one to wipe the handle and the others to wipe the produce
3203,one to wipe the handle and the others to wipe the produce,whats the matter with the produce
3204,whats the matter with the produce,do you think the bananas fell from the sky
3205,do you think the bananas fell from the sky,what do you mean
3206,what do you mean,i mean someone used their dirty hands to pick the bananas the apples and the oranges
3207,i mean someone used their dirty hands to pick the bananas the apples and the oranges,well you better save a wipe for the dirty dollar bills youre going to pay with
3208,did you go to the 99 cents store,yes i did
3209,yes i did,what did you buy
3210,what did you buy,well i got a lot of good deals as usual
3211,well i got a lot of good deals as usual,like what
3212,like what,well a dozen large eggs were only 99 cents
3213,well a dozen large eggs were only 99 cents,thats a good deal
3214,thats a good deal,and a onepound tub of soft butter was the same price
3215,and a onepound tub of soft butter was the same price,another good deal
3216,another good deal,but the best deal was five pounds of potatoes for 99 cents
3217,but the best deal was five pounds of potatoes for 99 cents,i dont know how that store makes money
3218,i dont know how that store makes money,neither do i but theyre doing something right
3219,i need a new computer,whats the matter with yours
3220,whats the matter with yours,its six years old
3221,its six years old,thats pretty old
3222,thats pretty old,it still works but im going to give it to a charity
3223,it still works but im going to give it to a charity,are you going to buy a desktop or laptop
3224,are you going to buy a desktop or laptop,oh a laptop of course
3225,oh a laptop of course,a pc or a mac
3226,a pc or a mac,i havent decided yet
3227,i havent decided yet,more and more people are using macs
3228,more and more people are using macs,but 90 percent of the world uses pcs
3229,but 90 percent of the world uses pcs,and thats not going to change anytime soon
3230,i got ripped off,what happened
3231,what happened,i had a car problem so i went online
3232,i had a car problem so i went online,did you find a solution
3233,did you find a solution,yes i did a site i went to said they would send me the solution
3234,yes i did a site i went to said they would send me the solution,so whats the problem
3235,so whats the problem,i sent them 20 using my credit card but they never sent me the solution
3236,i sent them 20 using my credit card but they never sent me the solution,what are you going to do
3237,what are you going to do,i sent them an email asking for my money back
3238,i sent them an email asking for my money back,have you heard from them
3239,have you heard from them,not yet its been a week
3240,not yet its been a week,well i guess thats a 20 lesson for you
3241,wheres the pencil sharpener,which one
3242,which one,any one i need to sharpen this pencil
3243,any one i need to sharpen this pencil,i think theres one on the dining room table
3244,i think theres one on the dining room table,i already looked there
3245,i already looked there,did you look in the desk drawer
3246,did you look in the desk drawer,yes i looked there too
3247,yes i looked there too,dont we have about five sharpeners
3248,dont we have about five sharpeners,yes but they seem to have legs
3249,yes but they seem to have legs,tomorrow im going to buy an electric sharpener
3250,tomorrow im going to buy an electric sharpener,get one with the rubber suction cups on the bottom
3251,get one with the rubber suction cups on the bottom,yes that way it will stay where i put it
3252,im trying to stretch my dollars,how are you doing that
3253,how are you doing that,i started shopping at the dollar store
3254,i started shopping at the dollar store,that saves a lot of money
3255,that saves a lot of money,i bought three pounds of potatoes for a dollar
3256,i bought three pounds of potatoes for a dollar,thats a good deal
3257,thats a good deal,yes even though some of the potatoes had eyes
3258,yes even though some of the potatoes had eyes,just put them in the fridge
3259,just put them in the fridge,also i bought a can of cheap coffee and a bag of good coffee
3260,also i bought a can of cheap coffee and a bag of good coffee,why did you do that
3261,why did you do that,i mixed them together
3262,i mixed them together,if the coffee still tastes okay thats a good idea
3263,i really like this house,can we afford it
3264,can we afford it,they want 20 percent down
3265,they want 20 percent down,thats a lot of money
3266,thats a lot of money,but the house is so nice
3267,but the house is so nice,its in a great neighborhood
3268,its in a great neighborhood,its close to the beach
3269,its close to the beach,its close to the freeways
3270,its close to the freeways,its got a big yard
3271,its got a big yard,the kids love the house too
3272,the kids love the house too,if we dont buy it someone else will
3273,if we dont buy it someone else will,youre right lets buy it now we can worry later
3274,we cant afford this house,are you sure
3275,are you sure,we will be house rich but cash poor
3276,we will be house rich but cash poor,what do you mean
3277,what do you mean,our monthly payments will be too high
3278,our monthly payments will be too high,we wont have any money for other things
3279,we wont have any money for other things,no we wont have money for gas or food
3280,no we wont have money for gas or food,well be eating peanut butter sandwiches
3281,well be eating peanut butter sandwiches,without the peanut butter
3282,without the peanut butter,thats no good
3283,thats no good,we have to find a cheaper house
3284,we have to find a cheaper house,of course we cant live without gas or peanut butter
3285,that is a beautiful house,i dont like it
3286,i dont like it,whats the matter with it
3287,whats the matter with it,its on the corner
3288,its on the corner,so
3289,so,that means it gets twice as much traffic
3290,that means it gets twice as much traffic,youre right
3291,youre right,when youre inside you will always hear cars stopping and stopping at the intersection
3292,when youre inside you will always hear cars stopping and stopping at the intersection,or youll hear the collision if someone doesnt stop
3293,or youll hear the collision if someone doesnt stop,or youll see the collision if they crash into the house
3294,or youll see the collision if they crash into the house,lets find a house thats at the end of a dead end
3295,lets find a house thats at the end of a dead end,thats perfect the less traffic the better
3296,i hate looking for an apartment,me too
3297,me too,we have a 2 oclock appointment to see the one on main street
3298,we have a 2 oclock appointment to see the one on main street,wed better get ready to go
3299,wed better get ready to go,its an upstairs unit
3300,its an upstairs unit,thats good because i dont want to live under people with loud feet
3301,thats good because i dont want to live under people with loud feet,and its a corner unit
3302,and its a corner unit,thats great we wont have neighbors on both sides of us
3303,thats great we wont have neighbors on both sides of us,no pets are allowed
3304,no pets are allowed,perfect we dont have to listen to barking dogs
3305,perfect we dont have to listen to barking dogs,and there are only six units in the whole building
3306,and there are only six units in the whole building,wheres the checkbook im ready to rent it without even seeing it
3307,did you call the manager,yes he said hed come over tomorrow
3308,yes he said hed come over tomorrow,did he say what time
3309,did he say what time,yes he said hed be here at 9 oclock
3310,yes he said hed be here at 9 oclock,did he understand what the problem is
3311,did he understand what the problem is,yes i told him our doorbell doesnt work
3312,yes i told him our doorbell doesnt work,it shouldnt take him long to fix it
3313,it shouldnt take him long to fix it,i dont even know why we need to fix it
3314,i dont even know why we need to fix it,in case we have visitors
3315,in case we have visitors,but they can just knock on the door
3316,but they can just knock on the door,actually i want him to look at our carpet too
3317,actually i want him to look at our carpet too,yes it would be nice if hed give us a new carpet
3318,do you like this house,yes its beautiful
3319,yes its beautiful,its perfect for us and the kids
3320,its perfect for us and the kids,three bedrooms three bathrooms and a big back yard
3321,three bedrooms three bathrooms and a big back yard,and we can afford it
3322,and we can afford it,so are we going to buy it
3323,so are we going to buy it,im afraid not
3324,im afraid not,its too far from your job isnt it
3325,its too far from your job isnt it,i cant spend four hours on the road every day
3326,i cant spend four hours on the road every day,by the time you get home youll be too tired to even eat
3327,by the time you get home youll be too tired to even eat,i wont be able to play with the kids
3328,i wont be able to play with the kids,no we have to find something closer to your job
3329,boy its chilly outside isnt it,it sure is
3330,it sure is,in fact its chilly in the apartment too
3331,in fact its chilly in the apartment too,lets turn on the heat
3332,lets turn on the heat,ill check to make sure that all the windows are shut
3333,ill check to make sure that all the windows are shut,it should be warmer in a few minutes
3334,it should be warmer in a few minutes,its so nice to have a heated apartment
3335,its so nice to have a heated apartment,how did they survive in the old days
3336,how did they survive in the old days,they had fireplaces
3337,they had fireplaces,someone had to chop the wood
3338,someone had to chop the wood,and carry it into the house
3339,and carry it into the house,all we have to do is flip a switch
3340,this is a nice neighborhood,the streets are clean and quiet
3341,the streets are clean and quiet,the neighbors dont party on the weekends
3342,the neighbors dont party on the weekends,people take care of their lawns
3343,people take care of their lawns,no rusty old cars are sitting in the front yards
3344,no rusty old cars are sitting in the front yards,we never have to call the police about anything
3345,we never have to call the police about anything,our kids are completely safe
3346,our kids are completely safe,so why are we selling our house
3347,so why are we selling our house,theyre building a 3story apartment building on the corner
3348,theyre building a 3story apartment building on the corner,so weve got to sell before property values go down
3349,so weve got to sell before property values go down,yes i still cant believe our city council allowed this building
3350,yes i still cant believe our city council allowed this building,theyre probably getting something under the table
3351,that was a huge fire in santa barbara,yes it was
3352,yes it was,they said about 30 houses burned to the ground
3353,they said about 30 houses burned to the ground,and they were expensive houses
3354,and they were expensive houses,i feel so sorry for those people
3355,i feel so sorry for those people,why feel sorry for rich people
3356,why feel sorry for rich people,i feel sorry for anyone who loses their home
3357,i feel sorry for anyone who loses their home,so do i but not if theyre rich
3358,so do i but not if theyre rich,what does that have to do with it
3359,what does that have to do with it,rich people think theyre better than us
3360,rich people think theyre better than us,how many rich people do you know
3361,how many rich people do you know,none
3362,bears are invading our neighborhoods,of course they are theyre starving to death
3363,of course they are theyre starving to death,they should stay in the woods where they belong
3364,they should stay in the woods where they belong,theres no food in the woods
3365,theres no food in the woods,cant they eat grass
3366,cant they eat grass,do you think a bear is a cow
3367,do you think a bear is a cow,well ive seen them eating berries
3368,well ive seen them eating berries,berries arent in season all year round
3369,berries arent in season all year round,its too dangerous for kids and pets
3370,its too dangerous for kids and pets,people need to cover their trash cans
3371,people need to cover their trash cans,the police need to shoot all the bears
3372,the police need to shoot all the bears,you dont solve a problem by shooting it
3373,who did you vote for,i voted for obama
3374,i voted for obama,me too
3375,me too,he will be a great president
3376,he will be a great president,everyone likes him
3377,everyone likes him,hes a good speaker
3378,hes a good speaker,and hes really smart
3379,and hes really smart,he will solve our problems
3380,he will solve our problems,he will end the war
3381,he will end the war,the next four years will be good years
3382,the next four years will be good years,ill vote for him next time too
3383,ill vote for him next time too,i think everyone will
3384,the election is next week,who are you voting for
3385,who are you voting for,im not voting for the mayor
3386,im not voting for the mayor,why not
3387,why not,he made promises that he didnt keep
3388,he made promises that he didnt keep,like what
3389,like what,he promised to hire 1000 more police officers
3390,he promised to hire 1000 more police officers,how many did he hire
3391,how many did he hire,one hundred
3392,one hundred,maybe he had a good reason
3393,maybe he had a good reason,maybe hes just a liar
3394,maybe hes just a liar,maybe ill vote for someone else too
3395,i cant believe he won the election,only 15 percent of the voters turned out
3396,only 15 percent of the voters turned out,that is a joke
3397,that is a joke,voting is so important but people dont bother
3398,voting is so important but people dont bother,many people think their vote doesnt matter
3399,many people think their vote doesnt matter,the mayor won by only 2000 votes
3400,the mayor won by only 2000 votes,were stuck with him for four more years
3401,were stuck with him for four more years,voting is so easy you can even mail your ballot in
3402,voting is so easy you can even mail your ballot in,all you have to do is vote and put a stamp on it
3403,all you have to do is vote and put a stamp on it,how easy is that
3404,how easy is that,i guess people just dont care
3405,i guess people just dont care,theyll care when they see their taxes go up
3406,well we have a new president,but we have the same old problems
3407,but we have the same old problems,well hes made a few changes
3408,well hes made a few changes,like what
3409,like what,i think he closed the bowling alley in the white house
3410,i think he closed the bowling alley in the white house,oh yeah hes changing it to a basketball court
3411,oh yeah hes changing it to a basketball court,whos paying for that
3412,whos paying for that,i think we are
3413,i think we are,well thats okay as long as it helps him relax and think more clearly
3414,well thats okay as long as it helps him relax and think more clearly,yes we need a relaxed president who thinks clearly
3415,yes we need a relaxed president who thinks clearly,do any other world leaders have a basketball court
3416,do any other world leaders have a basketball court,they will you know america always leads the way
3417,people say that everybody loves obama,well more than 50 million people voted for mccain
3418,well more than 50 million people voted for mccain,thats 50 million people who dont love obama
3419,thats 50 million people who dont love obama,obamas got four years to make everyone happy
3420,obamas got four years to make everyone happy,hes never going to make everyone happy
3421,hes never going to make everyone happy,can you imagine being president
3422,can you imagine being president,everyone wants you to solve their problems
3423,everyone wants you to solve their problems,i have enough stress from trying to solve my own problems
3424,i have enough stress from trying to solve my own problems,you and everybody else
3425,you and everybody else,i would never want to be president
3426,i would never want to be president,but think about all the power youd have
3427,but think about all the power youd have,i prefer my quiet little life to all the power in the world
3428,did you read this article,what article
3429,what article,it says the mayor spends only 11 percent of his time on city duties
3430,it says the mayor spends only 11 percent of his time on city duties,only 11 percent
3431,only 11 percent,about 50 percent of the time hes traveling
3432,about 50 percent of the time hes traveling,where does he travel to
3433,where does he travel to,oh all over the world
3434,oh all over the world,but hes supposed to be making our city a better place
3435,but hes supposed to be making our city a better place,hes visiting other cities to get ideas
3436,hes visiting other cities to get ideas,cant he just go online
3437,cant he just go online,the rest of the time hes raising money for his reelection
3438,the rest of the time hes raising money for his reelection,well hell never get reelected once this news gets out
3439,who did you vote for for president,i voted for ralph nader
3440,i voted for ralph nader,who in the world is ralph nader
3441,who in the world is ralph nader,hes the best man for president
3442,hes the best man for president,whys that
3443,whys that,he hates corporations
3444,he hates corporations,well most corporations do think only about money
3445,well most corporations do think only about money,he hates democrats and republicans
3446,he hates democrats and republicans,well they do put their party before their country
3447,well they do put their party before their country,hes the only candidate that i trust
3448,hes the only candidate that i trust,but he didnt have a chance nobody voted for him
3449,but he didnt have a chance nobody voted for him,sooner or later voters will wake up
3450,i dont know why i bother to vote,whys that
3451,whys that,what good does it do
3452,what good does it do,you get to put someone in power that you like
3453,you get to put someone in power that you like,only if my candidate wins
3454,only if my candidate wins,well he cant win unless you and others vote for him
3455,well he cant win unless you and others vote for him,but even if my candidate wins hell break his promises
3456,but even if my candidate wins hell break his promises,thats true they promise anything just so they get elected
3457,thats true they promise anything just so they get elected,and when elected they go their own way
3458,and when elected they go their own way,they forget who put them in power
3459,they forget who put them in power,they forget where they came from
3460,they forget where they came from,maybe you should run for office
3461,that election for us senator stunk,what do you mean
3462,what do you mean,there were more votes than voters
3463,there were more votes than voters,but thats impossible
3464,but thats impossible,officials said that its possible
3465,officials said that its possible,did they explain how its possible
3466,did they explain how its possible,no they said there are some things you cant explain
3467,no they said there are some things you cant explain,so are they going to hold another election
3468,so are they going to hold another election,no that will cost too much money
3469,no that will cost too much money,so its better to save money than to have an honest election
3470,so its better to save money than to have an honest election,well the democratic party says it was an honest election
3471,well the democratic party says it was an honest election,of course they say thattheir man won
3472,i see that former president bush is at a conference,yes hes telling jokes about his eight years as president
3473,yes hes telling jokes about his eight years as president,yes those eight years were a lot of fun for everyone
3474,yes those eight years were a lot of fun for everyone,only 4000 american soldiers were killed overseas
3475,only 4000 american soldiers were killed overseas,not to mention 40000 wounded soldiers
3476,not to mention 40000 wounded soldiers,but bush visited some of them in the hospital once
3477,but bush visited some of them in the hospital once,thats nice that he found the time to make a visit
3478,thats nice that he found the time to make a visit,he spoke to them and made them feel better
3479,he spoke to them and made them feel better,did he speak to every family that lost a soldier
3480,did he speak to every family that lost a soldier,no he didnt have time to do that
3481,no he didnt have time to do that,well hes got plenty of time now
3482,well hes got plenty of time now,no hes too busy writing a book about how hard it was to be president
3483,did you get your official sample ballot,yes with the voter instructions
3484,yes with the voter instructions,how are you going to vote
3485,how are you going to vote,same as ever by mail all it costs me is a 42cent stamp
3486,same as ever by mail all it costs me is a 42cent stamp,i meant are you going to vote for or against the new taxes
